순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"582","컴퓨터/모바일","파이썬 프로그래밍 교과서","K462635987","9791160507669","93000","길벗","제니퍼 캠벨 외 지음, 심지현 옮김","23,000","20,700","2,300","10%","1,150점","20190423","516"
"583","컴퓨터/모바일","모바일로 즐기는 JSP 웹프로그래밍","8992649908","9788992649902","93000","인피니티북스","장용식.성낙현 지음","27,000","27,000","0","0%","1,350점","20130621","513"
"584","컴퓨터/모바일","bash를 활용한 사이버 보안 운영","K732637015","9791162242810","93000","한빛미디어","폴 트론코네.칼 앨빙 지음, 류광 옮김","28,000","25,200","2,800","10%","1,400점","20200302","505"
"585","컴퓨터/모바일","오픈스택 기반의 프라이빗 클라우드 서비스","K192535317","9791185890685","93000","제이펍","강남규.박상수 지음","30,000","27,000","3,000","10%","1,500점","20160930","486"
"586","컴퓨터/모바일","줄리아를 생각하다","K552638521","9791162242575","93000","한빛미디어","벤 로언스.앨런 B. 다우니 지음","30,000","27,000","3,000","10%","1,500점","20200406","470"
"587","컴퓨터/모바일","진짜 하루만에 끝내는 포토샵","K362638307","9791196918019","13000","T.W.I.G(티더블유아이지)(주)","박혜린 지음","19,800","17,820","1,980","10%","990점","20200305","450"
"588","컴퓨터/모바일","컴퓨터는 어떻게 만들어졌나요?","8997924478","9788997924479","93000","로드북","카와조에 아이 지음, 이영희 옮김","15,000","13,500","1,500","10%","750점","20200205","435"
"589","컴퓨터/모바일","유쾌한 코딩","K572638127","9791185578651","93000","인피니티북스","하일규.경일대학교 교육과정혁신센터 지음","17,000","17,000","0","0%","850점","20200313","430"
"590","컴퓨터/모바일","한국ATC센터와 함께하는 AutoCAD 오토캐드 2019 (동영상 강좌 무료 제공)","K312534176","9791187640066","13550","엠듀","김혜숙 지음","26,500","25,180","1,320","5%","1,320점","20181005","424"
"591","컴퓨터/모바일","HTML5 & CSS3 & jQuery","8970187820","9788970187822","","기한재","강양원.김영천.임정목 지음","23,000","23,000","0","0%","690점","20171115","423"
"592","컴퓨터/모바일","코틀린을 다루는 기술","K882638126","9791165210960","93000","길벗","피에르 이브 쏘몽 지음, 오현석 옮김","36,000","32,400","3,600","10%","1,800점","20200325","410"
"593","컴퓨터/모바일","엑셀 2016","8970187677","9788970187679","93000","기한재","임정목 외 지음","17,000","17,000","0","0%","510점","20160630","405"
"594","컴퓨터/모바일","이것이 리눅스다 (개정판) with RedHat CentOS 8","K932638839","9791162242605","93000","한빛미디어","우재남 지음","32,000","28,800","3,200","10%","1,600점","20200410","360"
"595","컴퓨터/모바일","문제해결을 통한 웹 프로그래밍 입문","8993163618","9788993163612","","이한미디어","김경민 지음","16,000","16,000","0","0%","480점","20191031","350"
"596","컴퓨터/모바일","3ds Max 2014 & V-Ray 3.6 + 무료동영상","K702532742","9791158135737","13560","구민사","강석창 지음","22,000","22,000","0","0%","660점","20180415","350"
"597","컴퓨터/모바일","정보화 실무 Excel 2016 + Powerpoint 2016","8909205857","9788909205856","13000","교학사(컴퓨터)","김수진 지음","12,000","10,800","1,200","10%","600점","20190630","343"
"598","컴퓨터/모바일","실습을 통한 MATLAB 입문","8957613749","9788957613740","93560","도서출판 아진","여영구 지음","25,000","23,750","1,250","5%","1,250점","20150325","343"
"599","컴퓨터/모바일","클라우드 전환 그 실제 이야기","K092638429","9791161754031","93000","에이콘출판","공용준 지음","20,000","18,000","2,000","10%","1,000점","20200331","340"
"600","컴퓨터/모바일","정보통신과 컴퓨터 네트워크","1185123105","9791185123103","93000","북스홀릭퍼블리싱","김은환.백금란.민소연 지음","22,000","22,000","0","0%","0점","20140305","339"
"601","컴퓨터/모바일","AutoCAD 2017","8983798939","9788983798930","13000","혜지원","이진천 지음","28,000","25,200","2,800","10%","1,400점","20160603","326"
"602","컴퓨터/모바일","자바 언어 프로그래밍","8970187979","9788970187976","","기한재","채현석.김성학 지음","25,000","25,000","0","0%","750점","20200220","320"
"603","컴퓨터/모바일","NX로 배우는 3차원 모델링","K162532018","9791188791071","93550","진샘미디어","김종헌 지음","34,000","34,000","0","0%","0점","20180228","320"
"604","컴퓨터/모바일","AVR ATmega128A 바이블 2","8971018348","9788971018347","93560","오므사(ohm사)","윤덕용 지음","45,000","45,000","0","0%","2,250점","20200310","310"
"605","컴퓨터/모바일","쿠버네티스 인 액션","K202638421","9791161754048","93000","에이콘출판","마르코 룩샤 지음, 강인호 외 옮김","45,000","40,500","4,500","10%","2,250점","20200331","300"
"606","컴퓨터/모바일","염건교수의 엑셀강의","8959725544","9788959725540","93000","청람","염건 지음","25,000","25,000","0","0%","0점","20170215","295"
"607","컴퓨터/모바일","업무와 일상을 정리하는 새로운 방법 Notion","K462635498","9791188621620","13000","제이펍","이해봄.전시진 지음","18,000","16,200","1,800","10%","900점","20190516","5722"
"608","컴퓨터/모바일","Node.js 교과서","K422533335","9791160505221","93000","길벗","조현영 지음","32,000","28,800","3,200","10%","1,600점","20180801","4356"
"609","컴퓨터/모바일","개발자의 글쓰기","K512636276","9791158391744","13000","위키북스","김철수 지음","18,000","16,200","1,800","10%","900점","20191004","4249"
"610","컴퓨터/모바일","코딩맨 엔트리 10 : 최후의 결전","K842636512","9791156398240","77550","다산어린이","이준범 지음, 김기수 그림, 한국공학한림원, 이정 감수","12,000","10,800","1,200","10%","600점","20191223","4031"
"611","컴퓨터/모바일","블록체인 무엇인가?","K132532003","9791188612925","13000","이지스퍼블리싱","다니엘 드레셔 지음, 이병욱 옮김","15,000","13,500","1,500","10%","750점","20180219","3888"
"612","컴퓨터/모바일","모두의 알고리즘 with 파이썬","K322531365","9791160501728","93560","길벗","이승찬 지음","16,000","14,400","1,600","10%","800점","20170518","3791"
"613","컴퓨터/모바일","이렇게 하면 나도 프로그램을 잘 만들 수 있다","8997399039","9788997399031","13560","삼양애드","김석현 지음","23,000","20,700","2,300","10%","1,150점","20120220","3724"
"614","컴퓨터/모바일","인디자인CC 책 한 권 뚝딱 만들기, 편집디자인 실무","K072534569","9791195559855","13000","봄날에","박영희 지음","32,000","28,800","3,200","10%","1,600점","20180925","3560"
"615","컴퓨터/모바일","Do it! Vue.js 입문","K202532498","9791188612789","13000","이지스퍼블리싱","장기효 지음","15,000","13,500","1,500","10%","750점","20180205","3114"
"616","컴퓨터/모바일","코딩맨 엔트리 8 : 업그레이드","K982636513","9791156398226","77550","다산어린이","이준범 지음, 김기수 그림, 이정 감수, 한국공학한림원 추천","12,000","10,800","1,200","10%","600점","20191223","3019"
"617","컴퓨터/모바일","월스트리트저널 인포그래픽 가이드","8966260934","9788966260935","13320","인사이트","도나 M. 웡 지음, 이현경 옮김, 강규영 감수","15,000","13,500","1,500","10%","750점","20140314","2997"
"618","컴퓨터/모바일","코딩맨 엔트리 9 : 디버깅의 반격","K892636512","9791156398233","77550","다산어린이","이준범 지음, 김기수 그림, 한국공학한림원, 이정 감수","12,000","10,800","1,200","10%","600점","20191223","2923"
"619","컴퓨터/모바일","초보 직장인을 위한 엑셀 & 파워포인트 & 워드 & 아웃룩 & 원노트","8931461240","9788931461244","13000","영진.com(영진닷컴)","장경호 지음","18,000","16,200","1,800","10%","900점","20190906","2880"
"620","컴퓨터/모바일","알고리즘으로 배우는 인공지능, 머신러닝, 딥러닝 입문","K742535984","9791158390419","93000","위키북스","김의중 지음","27,000","24,300","2,700","10%","1,350점","20160713","2879"
"621","컴퓨터/모바일","된다! 귀염뽀짝 이모티콘 만들기","K542635886","9791163030799","13000","이지스퍼블리싱","정지혜 지음","15,000","13,500","1,500","10%","750점","20190412","2785"
"622","컴퓨터/모바일","유튜브 크리에이터 쉽게 시작하기","896088278X","9788960882782","13000","디지털북스(아이생각)","강민형.박현우 지음","13,000","11,700","1,300","10%","650점","20191015","2764"
"623","컴퓨터/모바일","V-Ray for Sketchup 브이레이 포 스케치업","8956747962","9788956747965","13000","정보문화사","한정훈 지음","40,000","36,000","4,000","10%","2,000점","20181105","2576"
"624","컴퓨터/모바일","심층 학습","K452534489","9791188621422","93000","제이펍","이안 굿펠로 외 지음, 류광 옮김","42,000","37,800","4,200","10%","2,100점","20181031","2541"
"625","컴퓨터/모바일","개발자도 알아야 할 소프트웨어 테스팅 실무","8994711007","9788994711003","93550","STA(소프트웨어테스팅연구소)","권원일 외 지음","28,000","26,600","1,400","5%","1,400점","20100915","2459"
"626","컴퓨터/모바일","게임으로 배우는 파이썬","893145998X","9788931459982","13000","영진.com(영진닷컴)","다나카 겐이치로 지음, 김은철 외 옮김","17,000","15,300","1,700","10%","850점","20190329","2448"
"627","컴퓨터/모바일","자바 ORM 표준 JPA 프로그래밍","8960777331","9788960777330","94000","에이콘출판","김영한 지음","43,000","38,700","4,300","10%","2,150점","20150728","2349"
"628","컴퓨터/모바일","모두의 SQL","K442534660","9791160505771","93000","길벗","김도연 지음, 박종혁 외 감수","18,000","16,200","1,800","10%","900점","20180921","2290"
"629","컴퓨터/모바일","OpenCV 4로 배우는 컴퓨터 비전과 머신 러닝","K512635470","9791160507652","93000","길벗","황선규 지음","42,000","37,800","4,200","10%","2,100점","20190412","2268"
"630","컴퓨터/모바일","모션 그래픽 디자인 강의 + 애프터 이펙트","8968484899","9788968484896","13000","한빛미디어","이수정 지음","24,000","21,600","2,400","10%","1,200점","20160921","2240"
"631","컴퓨터/모바일","Do it! 오라클로 배우는 데이터베이스 입문","K932534586","9791163030300","13000","이지스퍼블리싱","이지훈 지음","25,000","22,500","2,500","10%","1,250점","20181030","2199"
"632","컴퓨터/모바일","데이터 과학을 위한 통계","K722534373","9791162240984","93000","한빛미디어","피터 브루스.앤드루 브루스 지음, 이준용 옮김","32,000","28,800","3,200","10%","1,600점","20181002","2199"
"633","컴퓨터/모바일","Kotlin in Action","K192531943","9791161750712","94000","에이콘출판","드미트리 제메로프.스베트라나 이사코바 지음, 오현석 옮김","36,000","32,400","3,600","10%","1,800점","20171031","2172"
"634","컴퓨터/모바일","Do it! 프런트엔드 웹 디자인 입문","K142532408","9791188612949","13000","이지스퍼블리싱","고경희 지음","22,000","19,800","2,200","10%","1,100점","20180226","2143"
"635","컴퓨터/모바일","Kaggle 우승작으로 배우는 머신러닝 탐구생활","K862533646","9791186697696","93000","비제이퍼블릭","정권우 지음","27,000","24,300","2,700","10%","1,350점","20180831","2074"
"636","컴퓨터/모바일","캐릭터 애니메이션","K382536672","9791186573129","13000","비엘북스","허성회 지음, 정광조 감수","28,000","25,200","2,800","10%","1,400점","20170223","2065"
"637","컴퓨터/모바일","쉽게 배우는 JSP 웹 프로그래밍","K702534784","9791156643388","93000","한빛아카데미(교재)","송미영 지음","27,000","27,000","0","0%","0점","20181008","2001"
"638","컴퓨터/모바일","김기현의 자연어 처리 딥러닝 캠프 : 파이토치 편","K972635025","9791162241974","93000","한빛미디어","김기현 지음","38,000","34,200","3,800","10%","1,900점","20190701","1995"
"639","컴퓨터/모바일","모두의 네트워크","K812533461","9791160505030","93000","길벗","미즈구치 카츠야 지음, 이승룡 옮김","18,000","16,200","1,800","10%","900점","20180630","1991"
"640","컴퓨터/모바일","일러스트레이터 디자인 강의","8968480761","9788968480768","13000","한빛미디어","장보경 지음","25,000","22,500","2,500","10%","1,250점","20140110","1958"
"641","컴퓨터/모바일","밑바닥부터 만드는 컴퓨팅 시스템","8966262422","9788966262427","14000","인사이트","노암 니산 외 지음, 김진홍 옮김","26,000","23,400","2,600","10%","1,300점","20190329","1901"
"642","컴퓨터/모바일","깡샘의 안드로이드 프로그래밍","K902635121","9791186710210","93000","루비페이퍼","강성윤 지음","43,000","38,700","4,300","10%","2,150점","20190626","1893"
"643","컴퓨터/모바일","답답해 죽느니 내가 직접 만드는 SNS콘텐츠 with 망고보드","K322635084","9791196626310","13000","애드앤미디어","엄혜경 지음","18,000","16,200","1,800","10%","900점","20190408","1886"
"644","컴퓨터/모바일","마인크래프트 크리에이티브 가이드","893145550X","9788931455502","14690","영진.com(영진닷컴)","Mojang AB 지음","12,000","10,800","1,200","10%","600점","20170705","1873"
